job_id,applies,views
85008768,,5
529257371,,2
903408693,5,49
1004740969,28,82
1494619053,3,16
1545216695,1,14
1907764104,,10
1928027033,,22
2634247615,3,27
2730408164,,17
2926389341,10,71
3243289926,,31
3442372601,4,37
3461837164,2,21
3558876274,15,54
3580193834,7,49
3588924497,34,183
3597417615,2,34
3626156340,,
3627129770,669,2151
3636503102,,
3643209562,9,102
3653922092,9,141
3657070723,,
3666945557,1,10
3676480207,,4
3680971274,,2
3683918914,8,50
3683926341,4,45
3684017664,,
3684441939,,11
3686849494,,14
3687520079,19,90
3688980245,65,142
3689398039,5,72
3689601907,46,266
3689674972,10,62
3689687080,39,114
3690290550,2,68
3690417417,27,242
3690418699,19,128
3690420325,116,821
3690458930,18,117
3690460845,29,207
3690463255,17,194
3690464010,18,141
3690464312,7,44
3690466064,18,104
3690468614,37,342
3690470734,50,230
3690471580,8,179
3690472919,21,175
3690489493,53,572
3690492617,2,105
3690494629,37,134
3690496660,23,167
3690601234,22,104
3690604864,21,158
3690610800,4,72
3690611859,2,199
3690613145,26,285
3690614159,18,166
3690622639,6,110
3690627674,62,301
3690635702,46,221
3690637337,147,644
3690650655,15,231
3690652915,87,329
3690661006,61,367
3690665864,3,99
3690671085,44,215
3690671366,8,136
3690674396,69,640
3690679726,7,117
3690689188,31,168
3690697852,90,430
3690699783,,126
3690808251,30,190
3690811863,40,287
3690813079,28,265
3690815771,30,432
3690830913,71,342
3690835330,47,462
3690836590,7,193
3690836861,52,547
3690838132,27,134
3690840360,129,560
3690840799,309,960
3690841300,27,272
3690841515,12,66
3690842485,131,1168
3690844336,210,561
3690844811,5,85
3690849028,67,293
3690851117,105,429
3690859113,120,432
3690860158,150,455
3690865969,184,754
3690868912,33,124
3690869667,2,68
3690870383,70,306
3690871224,33,249
3690875253,9,106
3690882678,144,1082
3690885518,4,52
3690888827,3,61
3692363916,133,650
3692363921,216,606
3692364583,137,728
3692367370,,
3692369039,,7
3693031616,1,9
3693032353,1,15
3693034691,20,126
3693034850,33,116
3693035505,1,20
3693035554,1,69
3693035612,2,35
3693037770,18,132
3693038976,16,100
3693038998,230,586
3693039588,11,215
3693039908,55,238
3693039983,61,144
3693040603,10,49
3693040865,18,63
3693040873,,5
3693040913,9,46
3693040943,311,534
3693040951,532,1350
3693041555,,88
3693041811,74,455
3693041825,6,41
3693041882,10,77
3693041894,8,119
3693041907,15,197
3693041913,13,58
3693041917,9,82
3693041922,3,23
3693041926,10,51
3693041934,3,38
3693041945,3,39
3693041956,9,62
3693041983,2,35
3693042696,2,62
3693042885,2,22
3693042908,,18
3693042945,,29
3693042954,12,54
3693042962,1,7
3693042966,5,25
3693042977,27,68
3693043359,3,50
3693043623,112,860
3693043626,2,42
3693043650,9,57
3693043658,,24
3693043685,13,73
3693043687,5,35
3693043695,75,255
3693043702,32,80
3693043719,1,11
3693043721,14,57
3693043722,52,178
3693043727,102,281
3693043747,5,58
3693043757,8,49
3693043758,2,55
3693043777,3,26
3693043806,31,166
3693043812,38,118
3693043843,6,45
3693043849,3,10
3693043878,8,44
3693043892,72,170
3693043911,35,140
3693043936,2,13
3693043956,16,187
3693043959,5,34
3693043976,9,121
3693044217,2,33
3693044251,1,59
3693044307,78,175
3693044310,27,132
3693044312,4,33
3693044318,12,63
3693044340,3,36
3693044349,9,65
3693044363,12,77
3693044376,62,221
3693044461,9,52
3693044463,,39
3693044468,7,38
3693044473,,36
3693044480,29,108
3693044491,47,199
3693044497,20,122
3693044528,27,109
3693044529,1,25
3693044535,,14
3693044540,3,21
3693044547,14,83
3693044551,1,24
3693044565,2,86
3693044578,11,51
3693044634,70,335
3693044636,6,34
3693044652,,3
3693044669,54,622
3693044673,22,207
3693044685,16,135
3693044709,14,102
3693044714,211,763
3693044727,52,300
3693044739,95,301
3693044745,12,74
3693044807,129,467
3693044809,18,60
3693044816,128,447
3693044827,5,81
3693044837,206,974
3693044884,,11
3693044890,6,24
3693044911,,284
3693044914,12,49
3693044917,3,64
3693044924,3,65
3693044969,11,71
3693045185,4,63
3693045212,11,56
3693045226,22,123
3693045229,32,160
3693045237,7,45
3693045253,16,94
3693045264,137,394
3693045265,9,43
3693045292,24,211
3693045296,18,71
3693045370,171,720
3693045386,16,67
3693045389,28,109
3693045402,2,24
3693045406,4,19
3693045432,24,83
3693045464,7,29
3693045467,16,66
3693045498,2,42
3693045500,83,473
3693045541,5,38
3693045586,11,70
3693045672,13,129
3693045680,,25
3693045683,35,110
3693045688,,23
3693045710,8,90
3693045721,76,170
3693045762,,4
3693045775,11,52
3693045777,13,36
3693045847,15,102
3693045868,26,115
3693045874,6,193
3693045896,,96
3693045904,39,129
3693045905,1,16
3693045933,9,38
3693045947,127,235
3693045953,34,139
3693045957,6,42
3693045981,70,451
3693045991,16,90
3693046082,11,126
3693046111,8,63
3693046116,115,514
3693046120,2,6
3693046138,11,75
