job_id,currency,max_salary,med_salary,min_salary,pay_period,compensation_type
85008768,USD,52000,,45760,YEARLY,BASE_SALARY
529257371,,,,,,
903408693,USD,42000,,37000,YEARLY,BASE_SALARY
1004740969,,,,,,
1494619053,,,,,,
1545216695,USD,180000,,120000,YEARLY,BASE_SALARY
1907764104,,,,,,
1928027033,,,,,,
2634247615,,,,,,
2730408164,USD,27,,18,HOURLY,BASE_SALARY
2926389341,USD,85000,,60000,YEARLY,BASE_SALARY
3243289926,USD,80000,,77000,YEARLY,BASE_SALARY
3442372601,,,,,,
3461837164,,,,,,
3558876274,USD,100000,,60000,YEARLY,BASE_SALARY
3580193834,,,,,,
3588924497,USD,150000,,130000,YEARLY,BASE_SALARY
3597417615,,,,,,
3626156340,USD,75000,,70000,YEARLY,BASE_SALARY
3627129770,,,,,,
3636503102,USD,18,,18,HOURLY,BASE_SALARY
3643209562,USD,95500,,78000,YEARLY,BASE_SALARY
3653922092,,,,,,
3657070723,USD,350000,,200000,YEARLY,BASE_SALARY
3666945557,,,,,,
3676480207,,,,,,
3680971274,,,,,,
3683918914,,,,,,
3683926341,,,,,,
3684017664,,,,,,
3684441939,,,,,,
3686849494,,,,,,
3687520079,,,,,,
3688980245,,,,,,
3689398039,,,,,,
3689601907,,,,,,
3689674972,,,,,,
3689687080,USD,110000,,90000,YEARLY,BASE_SALARY
3690290550,USD,15,,10,HOURLY,BASE_SALARY
3690417417,USD,,12,,HOURLY,BASE_SALARY
3690418699,USD,,12,,HOURLY,BASE_SALARY
3690420325,,,,,,
3690458930,,,,,,
3690460845,,,,,,
3690463255,USD,23.1,,18.9,HOURLY,BASE_SALARY
3690464010,,,,,,
3690464312,USD,86000,,65000,YEARLY,BASE_SALARY
3690466064,,,,,,
3690468614,,,,,,
3690470734,,,,,,
3690471580,,,,,,
3690472919,USD,,100000,,YEARLY,BASE_SALARY
3690489493,USD,100000,,80000,YEARLY,BASE_SALARY
3690492617,,,,,,
3690494629,,,,,,
3690496660,,,,,,
3690601234,USD,80000,,60000,YEARLY,BASE_SALARY
3690604864,,,,,,
3690610800,,,,,,
3690611859,,,,,,
3690613145,USD,80000,,64389,YEARLY,BASE_SALARY
3690614159,USD,45000,,35000,YEARLY,BASE_SALARY
3690622639,USD,65000,,55000,YEARLY,BASE_SALARY
3690627674,USD,,50000,,YEARLY,BASE_SALARY
3690635702,,,,,,
3690637337,,,,,,
3690650655,,,,,,
3690652915,,,,,,
3690661006,,,,,,
3690665864,,,,,,
3690671085,,,,,,
3690671366,USD,72000,,65000,YEARLY,BASE_SALARY
3690674396,,,,,,
3690679726,,,,,,
3690689188,USD,70000,,70000,YEARLY,BASE_SALARY
3690697852,,,,,,
3690699783,,,,,,
